rank,nome,avaliacao
484,1846: The Race for the Midwest,7.95
485,Potion Explosion,7.14
486,Archipelago,7.31
487,Argent: The Consortium,7.66
488,Thurn and Taxis,7.09
489,Time's Up! Title Recall!,7.70
490,The Grizzled,7.16
491,Bohnanza,7.04
492,The Fox in the Forest,7.16
493,Legends of Andor,7.15
494,BattleCON: Devastation of Indines,7.86
495,Libertalia,7.14
496,Port Royal,7.13
497,Zombie Kidz Evolution,7.71
498,TZAAR,7.66
499,Escape Plan,7.55
500,Ingenious,7.11
501,Euphoria: Build a Better Dystopia,7.21
502,Airlines Europe,7.30
503,Long Shot: The Dice Game,7.82
504,Sentinels of the Multiverse,7.17
505,Roads & Boats,7.72
506,Dawn of the Zeds (Third Edition),8.19
507,Fantastic Factories,7.51
508,One Night Ultimate Werewolf,7.09
509,Elysium,7.21
510,RoboRally,7.07
511,"Air, Land, & Sea",7.49
512,Alhambra,7.03
513,Egizia,7.40
514,Sushi Go!,7.02
515,Chicago Express,7.25
516,Vikings,7.24
517,Discworld: Ankh-Morpork,7.24
518,SCOUT,7.70
519,Summoner Wars (Second Edition),8.27
520,Queendomino,7.20
521,Vinhos,7.48
522,Tales of the Arabian Nights,7.18
523,Runebound (Third Edition),7.47
524,Last Will,7.18
525,Pax Porfiriana,7.68
526,Boonlake,7.75
527,Star Wars: X-Wing (Second Edition),8.12
528,Taj Mahal,7.27
529,Space Empires 4X,7.70
530,Baseball Highlights: 2045,7.53
531,Karuba,7.18
532,The Colonists,7.58
533,StarCraft: The Board Game,7.35
534,Camel Up,7.04
535,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.18
536,Colosseum,7.21
537,Love Letter: Premium Edition,7.44
538,Valeria: Card Kingdoms,7.46
539,Nova Luna,7.37
540,Paperback,7.16
541,Nexus Ops,7.21
542,Fleet: The Dice Game,7.72
543,Jamaica,7.07
544,DVONN,7.45
545,So Clover!,7.58
546,AquaSphere,7.27
547,High Society,7.12
548,Pan Am,7.57
549,Las Vegas,7.15
550,Photosynthesis,7.05
551,Through the Desert,7.08
552,In the Hall of the Mountain King,7.69
553,Hammer of the Scots,7.54
554,Broom Service,7.17
555,Carcassonne: Hunters and Gatherers,7.13
556,Evolution,7.09
557,Automobile,7.33
558,Tobago,7.11
559,Struggle of Empires,7.52
560,Conan,7.67
561,Atlantis Rising (Second Edition),7.65
562,Black Rose Wars,8.04
563,Carson City,7.23
564,Silver & Gold,7.27
565,Dice Throne: Season One,7.56
566,Star Wars: Destiny,7.47
567,Francis Drake,7.39
568,A Game of Thrones,7.19
569,Imperial Struggle,8.30
570,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.76
571,Descent: Legends of the Dark,7.98
572,Blood Bowl (2016 Edition),8.00
573,Gears of War: The Board Game,7.46
574,Triumph & Tragedy: European Balance of Power 1936-1945,8.15
575,A Game of Thrones: The Card Game (Second Edition),7.52
576,Coup,6.99
577,Draftosaurus,7.13
578,Aquatica,7.42
579,Zombicide,7.12
580,Quantum,7.25
581,Star Trek: Ascendancy,7.82
582,Cooper Island,7.62
583,Thebes,7.13
584,The Battle of Five Armies,7.88
585,Mare Nostrum: Empires,7.55
586,KeyForge: Call of the Archons,7.17
587,Unlock!: Heroic Adventures,7.67
588,Cartographers Heroes,7.90
