rank,nome,avaliacao
1793,Archaeology: The Card Game,6.67
1794,Wildlife Safari,6.66
1795,Ascension: Realms Unraveled,7.52
1796,Tranquility,7.04
1797,Pyramid of Pengqueen,6.89
1798,Citrus,7.10
1799,Vast: The Mysterious Manor,7.51
1800,Frank's Zoo,6.61
1801,2 de Mayo,6.90
1802,HeroQuest Advanced Quest,7.33
1803,Glow,7.10
1804,Cutthroat Caverns,6.53
1805,Abalone,6.46
1806,Euchre,6.81
1807,Age of War,6.45
1808,Duel of Ages II,7.39
1809,"Warriors of God: The Wars of England & France, 1135-1453",7.43
1810,Salem 1692,7.07
1811,Hamsterrolle,6.82
1812,Dr. Eureka,6.59
1813,Relic,6.76
1814,Castellion,6.92
1815,Spring Meadow,7.08
1816,Tabannusi: Builders of Ur,7.47
1817,Compounded,6.73
1818,Tiny Epic Defenders (Second Edition),7.13
1819,Harbour,6.50
1820,Qin,6.78
1821,Beyond Baker Street,6.84
1822,Pandemic: Hot Zone – North America,7.05
1823,Mysthea,7.68
1824,Um Reifenbreite,6.80
1825,Horus Heresy,7.05
1826,Ganymede,7.22
1827,Bob Ross: Art of Chill Game,6.80
1828,Kolejka,6.67
1829,The Hanging Gardens,6.78
1830,Hornet Leader: Carrier Air Operations,7.88
1831,Covert,7.09
1832,Boss Monster 2: The Next Level,6.72
1833,Rommel in the Desert,7.54
1834,Riff Raff,6.92
1835,Guilds of London,6.82
1836,Teenage Mutant Ninja Turtles: Shadows of the Past,7.42
1837,Conquest of the Empire,6.73
1838,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,7.47
1839,Core Space,8.73
1840,Seikatsu,7.06
1841,Iberian Gauge,7.40
1842,The Dresden Files Cooperative Card Game,7.03
1843,You're Bluffing!,6.58
1844,Star Trek Panic,6.99
1845,Time's Up! Deluxe,7.48
1846,Castles of Mad King Ludwig: Collector's Edition,8.48
1847,Snake Oil,6.68
1848,Gaslands: Post-Apocalyptic Vehicular Combat,8.10
1849,Lotus,6.70
1850,Chronicles of Avel,7.85
1851,Catan Histories: Settlers of America – Trails to Rails,6.80
1852,Sorcerer,7.65
1853,Perikles,6.89
1854,Palastgeflüster,6.78
1855,Warfighter: The WWII Tactical Combat Card Game,7.88
1856,Ardennes '44: The Battle of the Bulge,8.01
1857,KeyForge: Worlds Collide,7.54
1858,Stellar,7.44
1859,After the Empire,7.58
1860,Impulse,6.82
1861,Land vs Sea,7.32
1862,Elasund: The First City,6.61
1863,Wings of War: Watch Your Back!,6.98
1864,Bios: Genesis,7.12
1865,HEXplore It: The Valley of the Dead King,7.77
1866,City of Horror,6.69
1867,Stop Thief!,7.00
1868,Lifeboats,6.59
1869,City of Spies: Estoril 1942,7.04
1870,Fighting Formations: Grossdeutschland Motorized Infantry Division,7.62
1871,Blood Bowl: Second Season Edition,8.57
1872,World War II: Barbarossa to Berlin,7.30
1873,Pit,6.39
1874,Ribbit,6.78
1875,Ticket to Ride: First Journey (U.S.),6.91
1876,Voyages,7.55
1877,Star Wars: Jabba's Palace – A Love Letter Game,7.34
1878,Lignum (Second Edition),7.70
1879,Mafia de Cuba,6.54
1880,Quests of Valeria,6.93
1881,The Princes of Machu Picchu,6.96
1882,Belratti,7.17
1883,The Flow of History,6.78
1884,After The Virus,7.18
1885,Axis & Allies: 1942,6.90
1886,Terra,6.80
1887,High Frontier (Third Edition),8.21
1888,Dominations: Road to Civilization,7.48
1889,Risk: Europe,7.43
1890,Sail to India,6.69
1891,Time of Legends: Joan of Arc,8.04
1892,Uprising: Curse of the Last Emperor,8.40
1893,Flatline,7.12
1894,Wealth of Nations,6.93
1895,Dungeon Twister 2: Prison,7.28
1896,Agents of SMERSH,6.97
1897,March of the Ants,7.19
1898,Meeple Land,7.33
1899,Cosmic Encounter: 42nd Anniversary Edition,8.28
1900,Heroscape Master Set:  Battle for the Underdark,7.51
1901,D-Day Dice (Second Edition),7.50
1902,American Rails,7.40
1903,Kepler-3042,7.32
1904,Chakra,6.91
1905,Zombie 15',6.84
1906,XenoShyft: Dreadmire,7.24
1907,5-Minute Mystery,7.17
1908,Marvel: Crisis Protocol,8.37
1909,Razzia!,6.84
1910,Cube Quest,6.82
1911,Spades,6.77
1912,Bananagrams,6.37
1913,Keltis,6.42
1914,Dragonwood,6.60
1915,The U.S. Civil War,8.28
1916,Mille Fiori,7.39
1917,DungeonQuest,6.74
1918,Dealt!,7.07
1919,Timeline Challenge,7.05
1920,Frostgrave,8.13
1921,Once Upon a Time: The Storytelling Card Game,6.39
1922,Sagani,7.21
1923,Florenza,7.39
1924,Pagan: Fate of Roanoke,8.29
1925,Jórvík,6.81
1926,Sails of Glory,7.53
1927,Alea Iacta Est,6.63
1928,Pastiche,6.82
1929,Balderdash,6.46
1930,FITS,6.58
1931,1870: Railroading across the Trans Mississippi from 1870,7.45
1932,Glüx,7.10
1933,Custom Heroes,6.83
1934,Inkognito,6.59
1935,Good Cop Bad Cop,6.60
1936,Drum Roll,6.88
1937,Mall of Horror,6.63
1938,Space Cadets,6.56
1939,Hermagor,6.90
1940,Castaways,6.96
1941,Super Mega Lucky Box,7.27
1942,Bad Company,7.40
1943,Rum & Bones,6.92
1944,Revive,8.28
1945,Valletta,7.00
1946,Escape from Colditz,6.67
1947,Vagrantsong,7.97
1948,Skyjo,6.83
1949,Victory in the Pacific,7.22
1950,Inca Empire,7.02
1951,We the People,7.30
1952,Trek 12: Himalaya,6.94
1953,Hunt for the Ring,7.14
1954,Monster Lands,7.23
1955,1754: Conquest – The French and Indian War,7.77
1956,Isla Dorada,6.71
1957,Ragusa,6.98
1958,Campaign Manager 2008,6.65
1959,Thunderstone Advance: Worlds Collide,7.75
1960,The Builders: Middle Ages,6.48
1961,Days of Ire: Budapest 1956,7.34
1962,Tiny Epic Pirates,7.13
1963,Subbuteo,6.98
1964,DungeonQuest (Third Edition),6.63
1965,Bosk,6.94
1966,Tanto Cuore,6.87
1967,Timebomb,7.16
1968,Yunnan,7.11
1969,Legends of Andor: The Last Hope,7.88
1970,Dutch Blitz,6.68
1971,Oltre Mare,6.64
1972,Founders of Gloomhaven,6.66
1973,Four Against Darkness,7.54
1974,Woodcraft,7.89
1975,Red Outpost,6.98
1976,Wings of War: Deluxe Set,7.28
1977,Heart of Crown,7.61
1978,Last Aurora,7.37
1979,Last Night on Earth: Timber Peak,7.60
1980,Confusion:  Espionage and Deception in the Cold War,7.06
1981,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,6.49
1982,BattleCON: Fate of Indines,7.88
1983,Legendary: Buffy The Vampire Slayer,7.56
1984,Bottom of the 9th,6.75
1985,Nuns on the Run,6.50
1986,Urban Sprawl,6.77
1987,Cabo,7.09
1988,Take it Easy!,6.60
1989,Il Vecchio,6.91
1990,Fleet: The Dice Game (Second Edition),7.91
1991,Super Dungeon Explore,6.76
1992,Copycat,6.72
1993,Thunder & Lightning,7.19
1994,Werewolf,6.50
1995,Circus Flohcati,6.63
1996,League of Six,6.79
1997,The Adventurers: The Pyramid of Horus,6.80
1998,Medium,6.99
1999,Dice Miner,7.29
2000,Exit: The Game – Theft on the Mississippi,7.17
